"kr","fr","tags"
"기쁘다","être content","émotion"
"슬프다","être triste","émotion"
"화나다","être en colère","émotion"
"놀라다","être surpris","émotion"
"지루하다","être ennuyé","émotion"
"클릭하다","cliquer","internet"
"다운로드하다","télécharger","internet"
"로그인하다","se connecter","internet"
"검색하다","rechercher","internet"
"계정","compte","internet"
"회의","réunion","travail"
"보고서","rapport","travail"
"마감일","date limite","travail"
"상사","supérieur hiérarchique","travail"
"동료","collègue","travail"
"좋아하다","aimer","préférence"
"더 좋아하다","préférer","préférence"
"~보다","par rapport à","préférence"
"~가/이 더 좋다","est meilleur","préférence"
"일, 이, 삼, 사, 오","un, deux, trois, quatre, cinq","nombre"
"육, 칠, 팔, 구, 십","six, sept, huit, neuf, dix","nombre"
"백, 천, 만","cent, mille, dix mille","nombre"
"요즘 저는 새로운 기술을 배우고 있어요.","En ce moment, j'apprends une nouvelle compétence.","phrase"
"하지만 시간이 부족해서 어려움을 느껴요.","Mais c'est difficile car je manque de temps.","phrase"
"내일 회의가 있어서 보고서를 작성해야 해요.","J'ai une réunion demain, donc je dois rédiger un rapport.","phrase"
"하지만 너무 지쳤어요.","Mais je suis trop fatigué.","phrase"
"이 웹사이트는 정말 유용해요.","Ce site web est vraiment utile.","phrase"
"다양한 정보를 쉽게 찾을 수 있어요.","On peut y trouver diverses informations facilement.","phrase"
"제 생각에는 이 영화가 정말 감동적이에요.","À mon avis, ce film est vraiment émouvant.","phrase"
"하지만 조금 지루할 수도 있어요.","Mais il pourrait aussi être un peu ennuyeux.","phrase"
